team,score,walksissued,stolenbases,strikeoutsthrown,totalbases,date,opponent,opponent_score,home
PHI,5,2,1,14,15,2017-09-09,WSH,4,0
TB,0,4,0,11,8,2017-09-09,BOS,9,0
SF,1,1,0,10,6,2017-09-09,CHW,13,0
MIA,5,7,0,6,16,2017-09-09,ATL,6,0
CIN,1,3,1,6,4,2017-09-09,NYM,6,0
MIN,2,4,0,2,15,2017-09-09,KC,5,0
PIT,3,5,0,8,13,2017-09-09,STL,4,0
HOU,4,1,0,11,11,2017-09-09,OAK,11,0
SD,8,5,0,6,21,2017-09-10,ARI,7,0
LAA,1,2,0,4,8,2017-09-10,SEA,8,0
COL,6,1,1,10,19,2017-09-10,LAD,5,0
DET,2,1,0,8,11,2017-09-10,TOR,8,0
CIN,10,1,2,8,17,2017-09-10,NYM,5,0
TB,4,3,0,7,17,2017-09-10,BOS,1,0
MIA,8,8,0,3,20,2017-09-10,ATL,10,0
PHI,2,1,0,7,5,2017-09-10,WSH,3,0
SF,1,1,0,7,8,2017-09-10,CHW,8,0
MIN,3,3,0,5,15,2017-09-10,KC,11,0
PIT,0,3,0,9,8,2017-09-10,STL,7,0
MIL,3,1,1,11,10,2017-09-10,CHC,1,0
NYY,16,7,0,13,37,2017-09-10,TEX,7,0
HOU,2,8,1,8,15,2017-09-10,OAK,10,0
LAA,5,1,1,6,16,2017-09-10,SEA,3,0
COL,8,3,0,12,22,2017-09-10,LAD,1,0
SD,2,2,1,9,9,2017-09-10,ARI,3,0
BAL,2,1,0,1,12,2017-09-11,CLE,3,0
BAL,3,2,0,8,10,2017-09-11,TOR,4,0
DET,0,6,0,4,10,2017-09-11,CLE,11,0
NYY,5,3,1,12,8,2017-09-11,TB,1,0
PIT,7,2,1,9,20,2017-09-11,MIL,0,0
SEA,3,4,1,8,14,2017-09-12,TEX,5,0
CHW,11,0,1,4,26,2017-09-12,KC,3,0
COL,5,6,0,5,19,2017-09-12,ARI,4,0
LAD,6,2,1,8,12,2017-09-12,SF,8,0
CHW,3,5,2,2,16,2017-09-12,KC,4,0
ATL,8,2,1,6,27,2017-09-12,WSH,0,0
MIA,8,8,2,10,22,2017-09-12,PHI,9,0
BAL,2,3,0,11,10,2017-09-12,TOR,3,0
OAK,1,1,0,5,4,2017-09-12,BOS,11,0
DET,0,4,0,7,8,2017-09-12,CLE,2,0
NYY,1,1,0,9,4,2017-09-12,TB,2,0
PIT,2,4,0,11,7,2017-09-12,MIL,5,0
SEA,10,3,0,9,24,2017-09-13,TEX,3,0
NYM,3,8,0,7,9,2017-09-13,CHC,8,0
SD,0,1,0,6,4,2017-09-13,MIN,16,0
CIN,4,9,0,9,16,2017-09-13,STL,13,0
COL,4,0,0,10,17,2017-09-13,ARI,2,0
HOU,1,1,0,9,7,2017-09-13,LAA,0,0
LAD,5,1,0,11,16,2017-09-13,SF,3,0
DET,3,3,0,11,9,2017-09-13,CLE,5,0
NYY,3,3,1,12,12,2017-09-13,TB,2,0
CHW,5,4,1,5,12,2017-09-13,KC,3,0
OAK,7,3,0,5,15,2017-09-13,BOS,3,0
ATL,8,0,0,12,16,2017-09-13,WSH,2,0
MIA,1,1,1,7,7,2017-09-13,PHI,8,0
BAL,2,1,0,8,12,2017-09-13,TOR,1,0
SEA,8,2,0,10,21,2017-09-14,TEX,1,0
NYM,5,11,1,9,16,2017-09-14,CHC,17,0
PIT,2,7,2,8,14,2017-09-14,MIL,8,0
SD,1,2,1,9,12,2017-09-14,MIN,3,0
CIN,6,3,0,8,14,2017-09-14,STL,0,0
COL,2,2,0,5,11,2017-09-14,ARI,8,0
LAD,4,0,2,7,16,2017-09-14,SF,1,0
HOU,1,2,0,9,6,2017-09-14,LAA,9,0
CHW,17,1,1,11,33,2017-09-14,DET,7,0
OAK,2,1,0,5,13,2017-09-14,BOS,6,0
CIN,2,7,0,8,11,2017-09-14,STL,5,0
COL,0,5,0,8,6,2017-09-14,ARI,7,0
BAL,5,6,0,6,24,2017-09-14,NYY,13,0
ATL,2,2,0,5,9,2017-09-14,WSH,5,0
MIA,0,3,0,10,11,2017-09-14,PHI,10,0
KC,2,5,0,3,11,2017-09-14,CLE,3,0
SEA,10,1,3,9,20,2017-09-15,TEX,4,0
NYM,6,2,2,11,19,2017-09-15,CHC,14,0
TOR,2,7,0,6,13,2017-09-15,MIN,3,0
HOU,5,3,0,7,14,2017-09-15,LAA,2,0
STL,2,3,0,10,10,2017-09-15,CHC,8,0
BAL,2,4,0,6,7,2017-09-15,NYY,8,0
LAD,7,4,1,13,21,2017-09-15,WSH,0,0
OAK,4,0,0,7,15,2017-09-15,PHI,0,0
KC,4,6,0,8,19,2017-09-15,CLE,3,0
CHW,2,3,1,6,11,2017-09-15,DET,3,0
PIT,2,5,0,8,11,2017-09-15,CIN,4,0
BOS,13,7,0,24,27,2017-09-15,TB,6,0
NYM,2,2,0,8,10,2017-09-15,ATL,3,0
TOR,4,1,0,7,17,2017-09-16,MIN,3,0
SEA,2,6,0,6,11,2017-09-16,HOU,5,0
MIL,10,1,1,13,25,2017-09-16,MIA,2,0
SD,1,3,0,3,11,2017-09-16,COL,6,0
TEX,6,3,0,6,12,2017-09-16,LAA,7,0
ARI,3,0,0,11,10,2017-09-16,SF,2,0
SEA,6,3,0,6,16,2017-09-16,HOU,8,0
LAD,3,2,0,9,13,2017-09-16,WSH,2,0
BAL,3,4,1,6,9,2017-09-16,NYY,9,0
STL,1,6,0,10,9,2017-09-16,CHC,4,0
KC,4,2,1,3,15,2017-09-16,CLE,8,0
PIT,1,2,0,7,10,2017-09-16,CIN,2,0
CHW,10,2,4,2,26,2017-09-16,DET,4,0
BOS,3,1,1,6,12,2017-09-16,TB,1,0
OAK,3,3,0,7,10,2017-09-16,PHI,5,0
TOR,7,1,1,4,19,2017-09-16,MIN,2,0
NYM,7,3,0,7,17,2017-09-16,ATL,3,0
MIL,4,1,0,7,16,2017-09-16,MIA,7,0
SD,0,6,0,4,3,2017-09-17,COL,16,0
ARI,2,1,0,8,13,2017-09-17,SF,0,0
TEX,0,5,0,5,4,2017-09-17,LAA,2,0
BAL,6,4,0,14,14,2017-09-17,NYY,4,0
KC,2,2,1,8,7,2017-09-17,CLE,3,0
CHW,0,5,0,4,2,2017-09-17,DET,12,0
PIT,2,5,0,12,7,2017-09-17,CIN,5,0
BOS,2,1,0,9,6,2017-09-17,TB,3,0
NYM,5,2,2,6,15,2017-09-17,ATL,1,0
OAK,6,4,0,9,17,2017-09-17,PHI,3,0
TOR,7,4,0,7,14,2017-09-17,MIN,13,0
SEA,1,1,0,4,9,2017-09-17,HOU,7,0
MIL,10,0,0,5,21,2017-09-17,MIA,3,0
STL,3,5,2,8,15,2017-09-17,CHC,4,0
SD,4,2,1,5,13,2017-09-17,COL,3,0
TEX,4,6,0,5,9,2017-09-17,LAA,2,0
ARI,2,6,1,6,9,2017-09-17,SF,7,0
LAD,1,5,3,8,4,2017-09-18,WSH,7,0
BOS,10,7,0,8,18,2017-09-18,BAL,8,0
MIN,1,1,0,4,5,2017-09-18,NYY,2,0
LAD,3,2,0,10,14,2017-09-18,PHI,4,0
MIL,3,0,2,11,16,2017-09-18,PIT,0,0
OAK,8,4,0,6,20,2017-09-18,DET,3,0
NYM,1,4,3,5,8,2017-09-18,MIA,13,0
ARI,2,5,0,6,5,2017-09-19,SD,4,0
MIN,2,6,1,7,12,2017-09-19,NYY,5,0
BOS,1,2,0,13,7,2017-09-19,BAL,0,0
LAD,2,4,0,9,13,2017-09-19,PHI,6,0
MIL,1,0,1,11,9,2017-09-19,PIT,0,0
KC,2,0,0,8,10,2017-09-19,TOR,5,0
OAK,9,7,0,9,25,2017-09-19,DET,8,0
STL,8,5,1,11,18,2017-09-19,CIN,7,0
NYM,4,5,0,9,17,2017-09-19,MIA,5,0
CHC,2,0,1,11,11,2017-09-19,TB,1,0
WSH,4,2,2,9,17,2017-09-19,ATL,2,0
CHW,1,1,2,3,7,2017-09-20,HOU,3,0
CLE,6,2,1,8,20,2017-09-20,LAA,3,0
TEX,3,3,1,5,13,2017-09-20,SEA,1,0
ARI,2,4,0,9,11,2017-09-20,SD,6,0
COL,3,1,1,7,13,2017-09-20,SF,4,0
MIN,3,3,0,8,6,2017-09-20,NYY,11,0
OAK,3,1,1,6,11,2017-09-20,DET,2,0
NYM,2,5,0,4,11,2017-09-20,MIA,9,0
COL,0,6,0,6,6,2017-09-20,SF,4,0
BOS,9,0,0,14,22,2017-09-20,BAL,0,0
LAD,5,3,0,8,15,2017-09-20,PHI,7,0
MIL,4,3,0,4,15,2017-09-20,PIT,6,0
KC,15,2,4,5,31,2017-09-20,TOR,5,0
STL,9,0,0,11,26,2017-09-20,CIN,2,0
CHC,1,7,0,7,7,2017-09-20,TB,8,0
WSH,7,1,0,9,13,2017-09-20,ATL,3,0
CHW,3,4,2,7,8,2017-09-21,HOU,4,0
ARI,13,5,2,8,25,2017-09-21,SD,7,0
CLE,6,2,1,9,21,2017-09-21,LAA,5,0
TEX,8,6,0,4,11,2017-09-21,SEA,6,0
LAD,5,5,0,12,16,2017-09-21,PHI,4,0
CLE,4,5,0,11,13,2017-09-21,LAA,1,0
TB,1,2,0,8,7,2017-09-21,BAL,3,0
KC,1,3,0,10,8,2017-09-21,TOR,0,0
MIN,12,1,2,10,18,2017-09-21,DET,1,0
STL,8,3,2,11,19,2017-09-21,CIN,5,0
WSH,2,0,0,7,8,2017-09-21,ATL,3,0
CHC,5,4,0,11,21,2017-09-22,MIL,3,0
CHW,3,6,0,8,10,2017-09-22,HOU,1,0
TEX,4,2,0,8,14,2017-09-22,SEA,2,0
COL,0,2,0,11,7,2017-09-22,SD,3,0
TB,8,2,0,11,23,2017-09-22,BAL,3,0
STL,4,2,3,7,13,2017-09-22,PIT,3,0
NYY,1,3,0,9,8,2017-09-22,TOR,8,0
MIN,7,2,2,8,19,2017-09-22,DET,3,0
BOS,5,4,0,8,11,2017-09-22,CIN,4,0
WSH,6,2,0,7,14,2017-09-22,NYM,7,0
CHC,5,3,1,9,10,2017-09-22,MIL,4,0
PHI,2,3,0,7,8,2017-09-22,ATL,7,0
KC,6,2,1,7,17,2017-09-23,CHW,7,0
LAA,0,2,1,9,2,2017-09-23,HOU,3,0
MIA,11,6,1,6,30,2017-09-23,ARI,13,0
TEX,1,2,0,9,13,2017-09-23,OAK,4,0
CLE,1,3,0,7,7,2017-09-23,SEA,3,0
SF,2,3,1,8,11,2017-09-23,LAD,4,0
COL,4,1,1,11,16,2017-09-23,SD,1,0
CHC,3,1,1,13,9,2017-09-23,MIL,4,0
LAA,2,2,0,5,12,2017-09-23,HOU,6,0
NYY,5,3,1,8,15,2017-09-23,TOR,1,0
CLE,11,5,0,11,28,2017-09-23,SEA,4,0
BOS,5,4,0,10,12,2017-09-23,CIN,0,0
MIN,10,0,1,5,16,2017-09-23,DET,4,0
MIN,10,0,1,5,16,2017-09-23,DET,4,0
TB,9,3,0,13,17,2017-09-23,BAL,6,0
STL,6,6,0,2,14,2017-09-23,PIT,11,0
KC,8,2,0,6,21,2017-09-23,CHW,2,0
PHI,2,5,0,4,9,2017-09-23,ATL,4,0
WSH,4,2,0,13,21,2017-09-23,NYM,3,0
MIA,12,4,0,4,22,2017-09-24,ARI,6,0
COL,0,2,0,9,5,2017-09-24,SD,5,0
TEX,0,0,0,7,4,2017-09-24,OAK,1,0
SF,2,1,2,5,11,2017-09-24,LAD,1,0
MIN,10,3,0,8,24,2017-09-24,DET,4,0
NYY,5,5,0,9,18,2017-09-24,TOR,9,0
BOS,5,2,0,14,10,2017-09-24,CIN,4,0
WSH,3,3,1,13,10,2017-09-24,NYM,2,0
TB,4,1,0,8,18,2017-09-24,BAL,9,0
PHI,2,1,0,7,11,2017-09-24,ATL,0,0
STL,1,2,0,8,7,2017-09-24,PIT,4,0
KC,1,3,0,10,9,2017-09-24,CHW,8,0
CHC,5,1,1,10,15,2017-09-24,MIL,0,0
TEX,1,4,0,3,6,2017-09-24,OAK,8,0
CLE,4,2,1,14,15,2017-09-24,SEA,2,0
SF,1,3,0,2,12,2017-09-24,LAD,3,0
MIA,2,5,0,10,7,2017-09-24,ARI,3,0
COL,8,3,2,10,20,2017-09-24,SD,4,0
LAA,7,2,1,11,21,2017-09-25,HOU,5,0
KC,3,4,0,5,13,2017-09-25,NYY,11,0
ATL,9,2,0,8,21,2017-09-25,NYM,2,0
WSH,3,3,2,7,12,2017-09-25,PHI,1,0
TOR,6,3,0,8,20,2017-09-25,BOS,4,0
ATL,2,2,2,4,8,2017-09-25,NYM,3,0
HOU,11,4,0,14,18,2017-09-26,TEX,2,0
LAA,2,2,2,8,8,2017-09-26,CHW,4,0
CHC,10,3,0,6,20,2017-09-26,STL,2,0
MIA,5,3,0,7,14,2017-09-26,COL,4,0
SF,9,3,0,9,19,2017-09-26,ARI,2,0
SEA,7,3,0,5,20,2017-09-26,OAK,1,0
SD,3,6,0,7,8,2017-09-26,LAD,9,0
TB,1,8,0,7,6,2017-09-26,NYY,6,0
WSH,1,7,0,11,8,2017-09-26,PHI,4,0
BAL,1,2,0,8,9,2017-09-26,PIT,10,0
TOR,9,0,0,12,29,2017-09-26,BOS,4,0
MIN,8,2,1,6,29,2017-09-26,CLE,6,0
ATL,3,2,2,7,14,2017-09-26,NYM,4,0
CIN,6,5,1,9,23,2017-09-26,MIL,7,0
CHC,7,6,1,6,17,2017-09-27,STL,8,0
CHC,7,6,1,6,17,2017-09-27,STL,8,0
HOU,14,2,1,13,31,2017-09-27,TEX,3,0
LAA,9,2,0,3,21,2017-09-27,CHW,3,0
DET,1,2,1,7,6,2017-09-27,KC,2,0
MIA,0,6,0,5,6,2017-09-27,COL,6,0
SF,4,7,0,7,15,2017-09-27,ARI,11,0
SEA,6,0,1,8,17,2017-09-27,OAK,3,0
SD,2,9,0,9,16,2017-09-27,LAD,9,0
HOU,12,0,0,12,28,2017-09-27,TEX,2,0
MIA,9,10,1,5,22,2017-09-27,COL,15,0
SEA,5,2,0,6,17,2017-09-27,OAK,6,0
SF,3,5,0,8,11,2017-09-27,ARI,4,0
CHC,5,3,0,6,14,2017-09-27,STL,1,0
TB,1,3,0,6,9,2017-09-27,NYY,6,0
WSH,5,7,4,7,16,2017-09-27,PHI,7,0
BAL,3,2,0,8,13,2017-09-27,PIT,5,0
TOR,7,1,0,7,22,2017-09-27,BOS,10,0
MIN,2,5,0,6,10,2017-09-27,CLE,4,0
ATL,1,10,2,10,8,2017-09-27,NYM,7,0
LAA,4,5,0,8,10,2017-09-28,CHW,6,0
CIN,6,4,0,6,18,2017-09-28,MIL,0,0
DET,4,4,0,4,12,2017-09-28,KC,7,0
SD,0,3,0,9,4,2017-09-28,LAD,10,0
MIN,2,0,0,5,10,2017-09-28,CLE,5,0
CIN,3,5,1,9,12,2017-09-28,MIL,4,0
TB,9,4,0,8,20,2017-09-28,NYY,6,0
PIT,4,7,1,7,10,2017-09-28,WSH,5,0
HOU,12,3,0,5,30,2017-09-28,BOS,2,0
ATL,1,3,0,6,6,2017-09-28,MIA,7,0
CHC,2,4,0,17,11,2017-09-28,STL,1,0
OAK,4,4,0,9,13,2017-09-29,TEX,1,0
LAA,4,4,1,10,10,2017-09-29,CHW,5,0
DET,4,1,1,1,9,2017-09-29,KC,1,0
TOR,0,2,1,9,5,2017-09-29,NYY,4,0
CIN,4,3,1,5,10,2017-09-29,CHC,5,0
PIT,1,2,0,10,5,2017-09-29,WSH,6,0
NYM,2,3,0,4,16,2017-09-29,PHI,6,0
HOU,3,3,0,9,10,2017-09-29,BOS,2,0
CHW,1,9,0,6,8,2017-09-29,CLE,10,0
ATL,5,3,1,7,17,2017-09-29,MIA,6,0
BAL,0,10,0,7,5,2017-09-29,TB,7,0
OAK,3,2,0,7,12,2017-09-30,TEX,5,0
DET,3,5,1,7,14,2017-09-30,MIN,6,0
LAD,1,5,0,7,6,2017-09-30,COL,9,0
ARI,1,4,0,7,11,2017-09-30,KC,2,0
MIL,5,1,0,8,13,2017-09-30,STL,3,0
SEA,5,3,1,10,22,2017-09-30,LAA,6,0
SD,0,2,0,5,10,2017-09-30,SF,8,0
HOU,3,4,0,12,12,2017-09-30,BOS,6,0
TOR,1,4,0,8,7,2017-09-30,NYY,2,0
CIN,0,7,0,7,9,2017-09-30,CHC,9,0
SD,3,5,0,9,12,2017-09-30,SF,2,0
MIL,6,5,1,10,18,2017-09-30,STL,7,0
BAL,3,2,0,7,9,2017-09-30,TB,4,0
PIT,4,1,0,6,7,2017-09-30,WSH,1,0
NYM,7,3,0,13,19,2017-09-30,PHI,4,0
CHW,2,4,0,7,10,2017-09-30,CLE,1,0
DET,3,5,1,7,5,2017-09-30,MIN,2,0
ATL,2,5,0,6,10,2017-09-30,MIA,10,0
ARI,3,2,1,11,16,2017-09-30,KC,4,0
OAK,4,5,0,5,15,2017-10-01,TEX,8,0
LAD,5,1,1,10,12,2017-10-01,COL,3,0
SEA,6,3,0,10,25,2017-10-01,LAA,4,0
HOU,4,1,1,12,10,2017-10-01,BOS,3,0
TOR,2,1,0,8,2,2017-10-01,NYY,1,0
OAK,5,1,0,10,18,2017-10-01,TEX,2,0
PIT,11,7,0,11,17,2017-10-01,WSH,8,0
NYM,0,7,0,11,2,2017-10-01,PHI,11,0
SD,4,2,1,5,19,2017-10-01,SF,5,0
SEA,2,3,0,10,10,2017-10-01,LAA,6,0
CHW,1,6,0,2,9,2017-10-01,CLE,3,0
DET,1,2,0,11,10,2017-10-01,MIN,5,0
LAD,6,4,0,7,15,2017-10-01,COL,3,0
ATL,8,3,0,14,21,2017-10-01,MIA,5,0
BAL,0,4,0,10,3,2017-10-01,TB,6,0
BAL,0,4,0,10,3,2017-10-01,TB,6,0
ARI,14,2,3,10,24,2017-10-01,KC,2,0
MIL,6,2,0,8,14,2017-10-01,STL,1,0
CIN,3,0,0,7,15,2017-10-01,CHC,1,0
MIN,4,5,1,5,16,2017-10-04,NYY,8,0
COL,8,4,0,11,22,2017-10-05,ARI,11,0
BOS,2,2,0,8,10,2017-10-05,HOU,8,0
NYY,0,6,0,9,4,2017-10-05,CLE,4,0
BOS,2,6,1,5,9,2017-10-06,HOU,8,0
NYY,8,5,0,12,21,2017-10-06,CLE,9,0
CHC,3,3,1,9,7,2017-10-06,WSH,0,0
ARI,5,4,0,9,20,2017-10-07,LAD,9,0
CHC,3,3,1,4,13,2017-10-07,WSH,6,0
ARI,5,5,0,12,14,2017-10-08,LAD,8,0
HOU,3,3,0,9,16,2017-10-08,BOS,10,0
CLE,0,4,0,11,7,2017-10-08,NYY,1,0
HOU,5,4,0,7,20,2017-10-09,BOS,4,0
WSH,1,4,0,8,4,2017-10-09,CHC,2,0
CLE,3,6,0,11,10,2017-10-09,NYY,7,0
LAD,3,0,0,11,15,2017-10-10,ARI,1,0
WSH,5,3,1,14,10,2017-10-11,CHC,0,0
NYY,5,2,0,15,14,2017-10-12,CLE,2,0
CHC,9,9,0,12,13,2017-10-13,WSH,8,0
NYY,1,1,0,5,8,2017-10-14,HOU,2,0
NYY,1,3,0,4,8,2017-10-14,HOU,2,0
CHC,2,4,0,6,7,2017-10-15,LAD,5,0
CHC,1,9,1,6,6,2017-10-15,LAD,4,0
HOU,1,3,0,6,4,2017-10-17,NYY,8,0
HOU,4,5,0,3,6,2017-10-17,NYY,6,0
LAD,6,2,0,11,18,2017-10-18,CHC,1,0
HOU,0,3,0,13,6,2017-10-18,NYY,5,0
LAD,2,0,0,11,10,2017-10-19,CHC,3,0
LAD,11,1,0,10,30,2017-10-20,CHC,1,0
NYY,1,5,0,7,10,2017-10-21,HOU,7,0
NYY,0,3,0,4,4,2017-10-22,HOU,4,0
HOU,1,2,0,5,6,2017-10-25,LAD,3,0
HOU,7,3,1,11,29,2017-10-26,LAD,6,0
LAD,3,4,1,6,6,2017-10-28,HOU,5,0
LAD,6,2,0,4,12,2017-10-29,HOU,2,0
LAD,12,5,0,6,27,2017-10-30,HOU,13,0
HOU,1,1,0,12,10,2017-11-01,LAD,3,0
HOU,5,2,2,9,10,2017-11-02,LAD,1,0
CHC,8,6,1,7,22,2018-03-29,MIA,4,0
STL,4,9,0,8,13,2018-03-29,NYM,9,0
MIN,2,5,2,13,8,2018-03-29,BAL,3,0
HOU,4,2,0,9,14,2018-03-29,TEX,1,0
NYY,6,3,0,12,24,2018-03-29,TOR,1,0
BOS,4,7,0,11,15,2018-03-29,TB,6,0
LAA,5,5,0,11,26,2018-03-29,OAK,6,0
PHI,5,4,1,6,11,2018-03-29,ATL,8,0
MIL,2,6,1,15,12,2018-03-29,SD,1,0
CHW,14,2,0,2,35,2018-03-29,KC,7,0
SF,1,5,0,10,13,2018-03-29,LAD,0,0
CLE,1,1,2,8,6,2018-03-30,SEA,2,0
COL,2,6,0,11,15,2018-03-30,ARI,8,0
PIT,13,9,1,9,25,2018-03-30,DET,10,0
WSH,2,2,1,14,7,2018-03-30,CIN,0,0
NYY,4,1,0,12,13,2018-03-30,TOR,2,0
CHC,1,8,0,14,13,2018-03-30,MIA,2,0
BOS,1,1,0,9,9,2018-03-30,TB,0,0
PHI,5,5,3,9,18,2018-03-30,ATL,4,0
HOU,1,2,0,6,7,2018-03-31,TEX,5,0
COL,8,5,1,9,20,2018-03-31,ARI,9,0
SF,1,0,0,8,5,2018-03-31,LAD,0,0
MIL,8,4,1,7,18,2018-03-31,SD,6,0
LAA,2,1,0,8,9,2018-03-31,OAK,1,0
STL,2,5,0,5,10,2018-03-31,NYM,6,0
WSH,13,2,0,11,28,2018-03-31,CIN,7,0
LAA,8,5,1,9,20,2018-03-31,OAK,3,0
HOU,9,4,0,13,24,2018-03-31,TEX,3,0
NYY,3,4,0,9,12,2018-03-31,TOR,5,0
CLE,6,1,0,8,13,2018-03-31,SEA,5,0
BOS,3,3,1,7,14,2018-03-31,TB,2,0
MIN,6,7,0,11,21,2018-03-31,BAL,2,0
PHI,2,5,0,5,9,2018-03-31,ATL,15,0
CHC,10,3,0,7,20,2018-03-31,MIA,6,0
CHW,4,5,1,5,12,2018-03-31,KC,3,0
COL,2,5,1,8,13,2018-04-01,ARI,1,0
MIL,7,1,3,8,15,2018-04-01,SD,3,0
SF,0,3,1,5,10,2018-04-01,LAD,5,0
MIN,7,1,1,6,24,2018-04-01,BAL,0,0
NYY,4,5,0,12,9,2018-04-01,TOR,7,0
STL,5,3,2,8,19,2018-04-01,NYM,1,0
CHC,0,5,0,5,10,2018-04-01,MIA,6,0
BOS,2,2,2,9,6,2018-04-01,TB,1,0
PIT,1,6,0,5,9,2018-04-01,DET,0,0
HOU,8,3,2,12,20,2018-04-01,TEX,2,0
LAA,7,5,0,8,17,2018-04-01,OAK,4,0
CLE,4,4,1,8,14,2018-04-01,SEA,5,0
WSH,6,3,2,8,20,2018-04-01,CIN,5,0
PIT,8,2,1,9,20,2018-04-01,DET,6,0
SF,0,0,1,7,8,2018-04-02,LAD,9,0
MIN,4,11,0,6,13,2018-04-02,PIT,5,0
KC,1,3,0,6,8,2018-04-02,DET,6,0
STL,8,1,0,9,20,2018-04-02,MIL,4,0
CHC,0,6,0,7,4,2018-04-02,CIN,1,0
BAL,1,5,0,6,11,2018-04-02,HOU,6,0
CHW,2,4,1,6,13,2018-04-02,TOR,4,0
BOS,7,3,1,7,21,2018-04-02,MIA,3,0
WSH,8,1,1,9,16,2018-04-02,ATL,1,0
LAD,7,10,0,11,27,2018-04-03,ARI,8,0
TEX,1,3,2,7,7,2018-04-03,OAK,3,0
CLE,6,2,1,7,17,2018-04-03,LAA,0,0
COL,7,5,1,8,25,2018-04-03,SD,4,0
KC,1,1,0,8,6,2018-04-03,DET,0,0
TB,4,6,0,14,9,2018-04-03,NYY,11,0
SEA,6,0,2,4,14,2018-04-03,SF,4,0
BOS,4,4,1,16,16,2018-04-03,MIA,2,0
CHW,5,5,2,6,19,2018-04-03,TOR,14,0
PHI,0,1,0,8,3,2018-04-03,NYM,2,0
WSH,6,5,2,9,19,2018-04-03,ATL,13,0
STL,4,2,2,13,20,2018-04-03,MIL,5,0
BAL,6,3,1,11,21,2018-04-04,HOU,10,0
LAD,1,5,0,8,6,2018-04-04,ARI,6,0
CLE,2,3,0,5,4,2018-04-04,LAA,13,0
TEX,4,3,0,13,15,2018-04-04,OAK,1,0
COL,4,4,0,7,8,2018-04-04,SD,8,0
WSH,1,4,1,11,7,2018-04-04,ATL,7,0
TB,2,3,0,11,7,2018-04-04,NYY,7,0
PHI,2,6,2,7,7,2018-04-04,NYM,4,0
BAL,2,3,1,10,9,2018-04-04,HOU,3,0
LAD,0,0,0,7,2,2018-04-04,ARI,3,0
CLE,2,4,2,11,7,2018-04-04,LAA,3,0
MIN,7,4,1,6,17,2018-04-04,PIT,3,0
CHW,4,1,0,10,15,2018-04-04,TOR,3,0
SEA,1,7,0,4,12,2018-04-04,SF,10,0
STL,6,2,0,10,14,2018-04-04,MIL,0,0
TEX,2,5,0,10,7,2018-04-05,OAK,6,0
COL,5,2,0,7,11,2018-04-05,SD,2,0
NYM,8,3,0,11,19,2018-04-05,WSH,2,0
TB,2,6,0,9,10,2018-04-05,BOS,3,0
MIA,0,9,0,9,5,2018-04-05,PHI,5,0
TEX,6,2,0,5,15,2018-04-05,OAK,3,0
COL,3,0,1,8,4,2018-04-05,SD,1,0
DET,9,5,1,12,23,2018-04-05,CHW,7,0
SEA,2,2,2,11,8,2018-04-05,MIN,4,0
BAL,5,6,1,8,15,2018-04-05,NYY,2,0
CIN,2,4,0,4,8,2018-04-05,PIT,5,0
ARI,3,5,0,13,14,2018-04-05,STL,1,0
CHC,8,1,1,11,20,2018-04-06,MIL,0,0
KC,2,4,0,3,8,2018-04-06,CLE,3,0
ATL,8,2,1,8,19,2018-04-06,COL,3,0
BAL,7,5,0,10,21,2018-04-06,NYY,3,0
CIN,3,6,0,5,14,2018-04-06,PIT,14,0
TOR,8,1,0,8,16,2018-04-07,TEX,5,0
CHC,4,6,1,8,10,2018-04-07,MIL,5,0
SD,4,4,0,12,18,2018-04-07,HOU,1,0
OAK,9,5,0,7,29,2018-04-07,LAA,13,0
TB,3,6,0,3,8,2018-04-07,BOS,10,0
BAL,3,7,0,3,9,2018-04-07,NYY,8,0
NYM,3,3,1,10,11,2018-04-07,WSH,2,0
DET,6,4,4,7,8,2018-04-07,CHW,1,0
SEA,11,5,0,7,21,2018-04-07,MIN,4,0
ARI,3,0,0,9,7,2018-04-07,STL,5,0
CHC,5,1,0,13,14,2018-04-07,MIL,2,0
KC,1,1,2,10,6,2018-04-07,CLE,0,0
MIA,1,6,0,11,6,2018-04-07,PHI,20,0
LAD,5,2,0,18,16,2018-04-07,SF,7,0
CIN,7,1,1,5,16,2018-04-07,PIT,4,0
SD,0,6,0,8,9,2018-04-07,HOU,1,0
TOR,1,5,0,6,7,2018-04-08,TEX,5,0
ATL,2,7,2,11,10,2018-04-08,COL,3,0
OAK,7,2,1,11,13,2018-04-08,LAA,3,0
TB,7,4,1,6,19,2018-04-08,BOS,8,0
BAL,8,6,2,12,23,2018-04-08,NYY,7,0
KC,1,4,0,6,13,2018-04-08,CLE,3,0
MIA,6,4,0,5,11,2018-04-08,PHI,3,0
CIN,0,2,0,4,1,2018-04-08,PIT,5,0
DET,1,2,2,9,2,2018-04-08,CHW,0,0
CHC,3,2,0,9,14,2018-04-08,MIL,0,0
SD,1,0,1,10,4,2018-04-08,HOU,4,0
ARI,4,2,1,6,13,2018-04-08,STL,1,0
TOR,7,5,0,9,18,2018-04-08,TEX,4,0
ATL,4,0,1,10,19,2018-04-08,COL,0,0
LAD,2,0,1,9,12,2018-04-08,SF,1,0
OAK,1,4,0,8,6,2018-04-08,LAA,6,0
NYM,6,7,1,7,17,2018-04-09,WSH,5,0
TB,5,5,3,12,21,2018-04-09,CHW,4,0
